Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City - Branch,Day of Week,Month,Rating Category
891-01-7034,Normal,Female,Electronic accessories,74.71,6,22.413,470.673,2019-01-01,19:07,Cash,6.7,Mandalay - B,Tuesday,January,6-8
133-14-7229,Normal,Male,Health and beauty,62.87,2,6.287,132.027,2019-01-01,11:43,Cash,5.0,Naypyitaw - C,Tuesday,January,4-6
271-77-8740,Member,Female,Sports and travel,29.22,6,8.766,184.086,2019-01-01,11:40,Ewallet,5.0,Naypyitaw - C,Tuesday,January,4-6
556-97-7101,Normal,Female,Electronic accessories,63.22,2,6.322,132.762,2019-01-01,15:51,Cash,8.5,Naypyitaw - C,Tuesday,January,8-10
765-26-6951,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39,Credit card,6.9,Yangon - A,Tuesday,January,6-8
746-04-1077,Member,Female,Food and beverages,84.63,10,42.315,888.615,2019-01-01,11:36,Credit card,9.0,Mandalay - B,Tuesday,January,8-10
493-65-6248,Member,Female,Sports and travel,36.98,10,18.49,388.29,2019-01-01,19:48,Credit card,7.0,Naypyitaw - C,Tuesday,January,6-8
770-42-8960,Normal,Male,Food and beverages,21.12,8,8.448,177.408,2019-01-01,19:31,Cash,6.3,Mandalay - B,Tuesday,January,6-8
182-52-7000,Member,Female,Sports and travel,27.04,4,5.408,113.568,2019-01-01,20:26,Ewallet,6.9,Yangon - A,Tuesday,January,6-8
530-90-9855,Member,Male,Home and lifestyle,47.59,8,19.036,399.756,2019-01-01,14:47,Cash,5.7,Yangon - A,Tuesday,January,4-6
416-17-9926,Member,Female,Electronic accessories,74.22,10,37.11,779.31,2019-01-01,14:42,Credit card,4.3,Yangon - A,Tuesday,January,4-6
651-88-7328,Normal,Female,Fashion accessories,65.74,9,29.583,621.243,2019-01-01,13:55,Cash,7.7,Yangon - A,Tuesday,January,6-8
226-34-0034,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,2019-01-10,11:10,Ewallet,9.0,Mandalay - B,Thursday,January,8-10
640-49-2076,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2019-01-10,14:49,Cash,5.1,Mandalay - B,Thursday,January,4-6
887-42-0517,Normal,Female,Sports and travel,83.14,7,29.099,611.079,2019-01-10,10:31,Credit card,6.6,Naypyitaw - C,Thursday,January,6-8
873-51-0671,Member,Female,Sports and travel,21.98,7,7.693,161.553,2019-01-10,16:42,Ewallet,5.1,Yangon - A,Thursday,January,4-6
665-32-9167,Normal,Male,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15,Credit card,7.2,Yangon - A,Thursday,January,6-8
744-02-5987,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,2019-01-10,14:16,Ewallet,5.8,Yangon - A,Thursday,January,4-6
241-11-2261,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,2019-01-10,10:33,Credit card,5.5,Mandalay - B,Thursday,January,4-6
603-07-0961,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,2019-01-10,11:34,Cash,4.9,Naypyitaw - C,Thursday,January,4-6
577-34-7579,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,2019-01-10,17:16,Cash,5.4,Naypyitaw - C,Thursday,January,4-6
746-68-6593,Member,Female,Sports and travel,87.16,2,8.716,183.036,2019-01-11,14:29,Credit card,9.7,Naypyitaw - C,Friday,January,8-10
592-46-1692,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,2019-01-11,20:10,Cash,7.4,Naypyitaw - C,Friday,January,6-8
406-46-7107,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,2019-01-11,11:52,Cash,4.5,Yangon - A,Friday,January,4-6
540-11-4336,Normal,Male,Food and beverages,24.94,9,11.223,235.683,2019-01-11,16:49,Credit card,5.6,Yangon - A,Friday,January,4-6
478-06-7835,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,2019-01-11,11:20,Ewallet,4.9,Yangon - A,Friday,January,4-6
289-15-7034,Member,Male,Sports and travel,82.33,4,16.466,345.786,2019-01-11,10:37,Credit card,7.5,Yangon - A,Friday,January,6-8
130-67-4723,Member,Male,Food and beverages,48.5,6,14.55,305.55,2019-01-11,13:57,Ewallet,9.4,Yangon - A,Friday,January,8-10
732-67-5346,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,2019-01-11,19:07,Credit card,7.8,Yangon - A,Friday,January,6-8
197-77-7132,Member,Male,Electronic accessories,91.56,8,36.624,769.104,2019-01-12,18:22,Ewallet,6.0,Mandalay - B,Saturday,January,6-8
381-20-0914,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2019-01-12,15:48,Credit card,5.7,Yangon - A,Saturday,January,4-6
296-11-7041,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,2019-01-12,20:07,Credit card,5.3,Mandalay - B,Saturday,January,4-6
647-50-1224,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,2019-01-12,16:23,Ewallet,8.9,Yangon - A,Saturday,January,8-10
704-48-3927,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2019-01-12,14:50,Ewallet,7.3,Yangon - A,Saturday,January,6-8
533-66-5566,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,2019-01-12,11:42,Cash,7.0,Mandalay - B,Saturday,January,6-8
852-62-7105,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,2019-01-12,11:25,Credit card,4.4,Mandalay - B,Saturday,January,4-6
659-36-1684,Member,Male,Sports and travel,57.12,7,19.992,419.832,2019-01-12,12:02,Credit card,6.5,Naypyitaw - C,Saturday,January,6-8
751-41-9720,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,2019-01-12,16:18,Ewallet,8.0,Naypyitaw - C,Saturday,January,8-10
848-07-1692,Normal,Female,Health and beauty,57.22,2,5.722,120.162,2019-01-12,17:13,Ewallet,8.3,Mandalay - B,Saturday,January,8-10
751-15-6198,Normal,Male,Sports and travel,23.01,6,6.903,144.963,2019-01-12,16:45,Ewallet,7.9,Mandalay - B,Saturday,January,6-8
327-40-9673,Member,Male,Sports and travel,72.6,6,21.78,457.38,2019-01-13,19:51,Cash,6.9,Mandalay - B,Sunday,January,6-8
459-50-7686,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,2019-01-13,19:14,Ewallet,6.4,Yangon - A,Sunday,January,6-8
460-93-5834,Normal,Male,Sports and travel,45.58,7,15.953,335.013,2019-01-13,10:03,Cash,5.0,Yangon - A,Sunday,January,4-6
355-34-6244,Normal,Male,Food and beverages,72.39,2,7.239,152.019,2019-01-13,19:55,Credit card,8.1,Mandalay - B,Sunday,January,8-10
397-25-8725,Member,Female,Health and beauty,39.62,9,17.829,374.409,2019-01-13,17:54,Credit card,6.8,Yangon - A,Sunday,January,6-8
339-38-9982,Member,Male,Fashion accessories,59.86,2,5.986,125.706,2019-01-13,14:55,Ewallet,6.7,Mandalay - B,Sunday,January,6-8
556-86-3144,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,2019-01-13,19:30,Cash,5.0,Naypyitaw - C,Sunday,January,4-6
784-08-0310,Member,Female,Food and beverages,21.04,4,4.208,88.368,2019-01-13,13:58,Cash,7.6,Naypyitaw - C,Sunday,January,6-8
195-06-0432,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,2019-01-13,12:55,Credit card,9.3,Yangon - A,Sunday,January,8-10
732-94-0499,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2019-01-13,17:04,Credit card,5.4,Naypyitaw - C,Sunday,January,4-6
704-10-4056,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,2019-01-14,10:55,Credit card,5.6,Naypyitaw - C,Monday,January,4-6
359-90-3665,Member,Female,Fashion accessories,18.08,4,3.616,75.936,2019-01-14,18:03,Credit card,9.5,Mandalay - B,Monday,January,8-10
320-85-2052,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,2019-01-14,10:11,Credit card,7.0,Mandalay - B,Monday,January,6-8
592-34-6155,Normal,Male,Food and beverages,31.77,4,6.354,133.434,2019-01-14,14:43,Ewallet,6.2,Naypyitaw - C,Monday,January,6-8
451-73-2711,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,2019-01-14,15:20,Ewallet,8.8,Naypyitaw - C,Monday,January,8-10
588-47-8641,Member,Male,Fashion accessories,56.04,10,28.02,588.42,2019-01-14,19:30,Ewallet,4.4,Yangon - A,Monday,January,4-6
559-61-5987,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,2019-01-14,10:38,Cash,8.6,Mandalay - B,Monday,January,8-10
426-39-2418,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,2019-01-14,10:02,Cash,9.8,Naypyitaw - C,Monday,January,8-10
667-23-5919,Member,Female,Fashion accessories,96.7,5,24.175,507.675,2019-01-14,12:52,Ewallet,7.0,Yangon - A,Monday,January,6-8
868-52-7573,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,2019-01-14,12:09,Cash,9.9,Mandalay - B,Monday,January,8-10
377-79-7592,Member,Female,Electronic accessories,44.84,9,20.178,423.738,2019-01-14,14:00,Credit card,7.5,Naypyitaw - C,Monday,January,6-8
785-13-7708,Normal,Male,Food and beverages,73.06,7,25.571,536.991,2019-01-14,19:06,Credit card,4.2,Mandalay - B,Monday,January,4-6
658-66-3967,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,2019-01-14,15:42,Ewallet,5.0,Naypyitaw - C,Monday,January,4-6
188-55-0967,Member,Male,Health and beauty,66.47,10,33.235,697.935,2019-01-15,15:01,Credit card,5.0,Mandalay - B,Tuesday,January,4-6
299-46-1805,Normal,Male,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19,Cash,4.5,Mandalay - B,Tuesday,January,4-6
437-58-8131,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,2019-01-15,13:41,Ewallet,4.6,Mandalay - B,Tuesday,January,4-6
450-28-2866,Member,Male,Food and beverages,17.44,5,4.36,91.56,2019-01-15,19:25,Cash,8.1,Naypyitaw - C,Tuesday,January,8-10
369-82-2676,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,2019-01-15,18:22,Ewallet,7.8,Mandalay - B,Tuesday,January,6-8
138-17-5109,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,2019-01-15,15:42,Credit card,6.5,Yangon - A,Tuesday,January,6-8
301-11-9629,Normal,Female,Sports and travel,19.1,7,6.685,140.385,2019-01-15,10:43,Cash,9.7,Yangon - A,Tuesday,January,8-10
272-65-1806,Normal,Male,Electronic accessories,60.88,9,27.396,575.316,2019-01-15,17:17,Ewallet,4.7,Yangon - A,Tuesday,January,4-6
660-29-7083,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,2019-01-15,15:01,Cash,5.8,Naypyitaw - C,Tuesday,January,4-6
589-02-8023,Member,Male,Food and beverages,83.77,2,8.377,175.917,2019-01-15,10:54,Credit card,7.0,Yangon - A,Tuesday,January,6-8
314-23-4520,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,2019-01-15,20:44,Cash,9.0,Naypyitaw - C,Tuesday,January,8-10
744-16-7898,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,2019-01-15,13:48,Credit card,4.9,Mandalay - B,Tuesday,January,4-6
886-54-6089,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,2019-01-15,17:24,Cash,7.7,Yangon - A,Tuesday,January,6-8
372-62-5264,Normal,Female,Food and beverages,52.6,9,23.67,497.07,2019-01-16,14:42,Cash,7.6,Naypyitaw - C,Wednesday,January,6-8
859-71-0933,Member,Female,Sports and travel,15.49,2,1.549,32.529,2019-01-16,15:10,Cash,6.3,Naypyitaw - C,Wednesday,January,6-8
286-62-6248,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,2019-01-16,20:03,Credit card,9.0,Mandalay - B,Wednesday,January,8-10
618-34-8551,Normal,Female,Sports and travel,93.18,2,9.318,195.678,2019-01-16,18:41,Credit card,8.5,Yangon - A,Wednesday,January,8-10
234-65-2137,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,2019-01-16,13:32,Cash,4.8,Naypyitaw - C,Wednesday,January,4-6
347-72-6115,Member,Female,Sports and travel,90.74,7,31.759,666.939,2019-01-16,18:03,Credit card,6.2,Mandalay - B,Wednesday,January,6-8
659-65-8956,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2019-01-16,15:26,Ewallet,5.2,Mandalay - B,Wednesday,January,4-6
677-11-0152,Normal,Female,Food and beverages,93.26,9,41.967,881.307,2019-01-16,18:08,Cash,8.8,Naypyitaw - C,Wednesday,January,8-10
842-29-4695,Member,Male,Sports and travel,17.14,7,5.999,125.979,2019-01-16,12:07,Credit card,7.9,Naypyitaw - C,Wednesday,January,6-8
648-83-1321,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,2019-01-16,17:59,Cash,4.3,Yangon - A,Wednesday,January,4-6
349-97-8902,Member,Male,Food and beverages,57.89,2,5.789,121.569,2019-01-17,10:37,Ewallet,8.9,Mandalay - B,Thursday,January,8-10
670-79-6321,Member,Female,Home and lifestyle,94.59,7,33.1065,695.2365,2019-01-17,15:27,Credit card,4.9,Mandalay - B,Thursday,January,4-6
497-37-6538,Normal,Male,Sports and travel,58.91,7,20.6185,432.9885,2019-01-17,15:15,Ewallet,9.7,Yangon - A,Thursday,January,8-10
280-35-5823,Normal,Male,Home and lifestyle,86.72,1,4.336,91.056,2019-01-17,18:45,Ewallet,7.9,Mandalay - B,Thursday,January,6-8
679-22-6530,Normal,Female,Sports and travel,40.62,2,4.062,85.302,2019-01-17,10:01,Credit card,4.1,Mandalay - B,Thursday,January,4-6
600-38-9738,Member,Male,Sports and travel,71.92,5,17.98,377.58,2019-01-17,15:05,Credit card,4.3,Naypyitaw - C,Thursday,January,4-6
200-16-5952,Member,Male,Food and beverages,65.65,2,6.565,137.865,2019-01-17,16:46,Cash,6.0,Naypyitaw - C,Thursday,January,6-8
101-81-4070,Member,Female,Health and beauty,62.82,2,6.282,131.922,2019-01-17,12:36,Ewallet,4.9,Naypyitaw - C,Thursday,January,4-6
698-98-5964,Normal,Female,Food and beverages,81.21,10,40.605,852.705,2019-01-17,13:01,Credit card,6.3,Yangon - A,Thursday,January,6-8
445-30-9252,Normal,Male,Sports and travel,25.7,3,3.855,80.955,2019-01-17,17:59,Ewallet,6.1,Yangon - A,Thursday,January,6-8
746-54-5508,Normal,Male,Home and lifestyle,21.52,6,6.456,135.576,2019-01-17,12:48,Credit card,9.4,Yangon - A,Thursday,January,8-10
562-12-5430,Member,Female,Fashion accessories,88.15,3,13.2225,277.6725,2019-01-18,10:11,Ewallet,7.9,Yangon - A,Friday,January,6-8
622-20-1945,Normal,Female,Health and beauty,39.42,1,1.971,41.391,2019-01-18,15:08,Cash,8.4,Naypyitaw - C,Friday,January,8-10
706-36-6154,Member,Male,Home and lifestyle,19.36,9,8.712,182.952,2019-01-18,18:43,Ewallet,8.7,Yangon - A,Friday,January,8-10
821-14-9046,Member,Female,Fashion accessories,17.48,6,5.244,110.124,2019-01-18,15:04,Credit card,6.1,Mandalay - B,Friday,January,6-8
678-79-0726,Member,Female,Sports and travel,90.63,9,40.7835,856.4535,2019-01-18,15:28,Cash,5.1,Naypyitaw - C,Friday,January,4-6
166-19-2553,Member,Male,Sports and travel,89.06,6,26.718,561.078,2019-01-18,17:26,Cash,9.9,Yangon - A,Friday,January,8-10
700-81-1757,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2019-01-18,20:59,Credit card,8.8,Yangon - A,Friday,January,8-10
781-84-8059,Normal,Male,Fashion accessories,60.74,7,21.259,446.439,2019-01-18,16:23,Ewallet,5.0,Naypyitaw - C,Friday,January,4-6
414-12-7047,Normal,Male,Food and beverages,19.79,8,7.916,166.236,2019-01-18,12:04,Ewallet,8.7,Mandalay - B,Friday,January,8-10
894-41-5205,Normal,Female,Food and beverages,43.18,8,17.272,362.712,2019-01-19,19:39,Credit card,8.3,Naypyitaw - C,Saturday,January,8-10
779-06-0012,Member,Female,Home and lifestyle,88.61,1,4.4305,93.0405,2019-01-19,10:21,Cash,7.7,Naypyitaw - C,Saturday,January,6-8
375-72-3056,Normal,Male,Sports and travel,63.06,3,9.459,198.639,2019-01-19,15:58,Ewallet,7.0,Mandalay - B,Saturday,January,6-8
796-32-9050,Normal,Male,Food and beverages,51.28,6,15.384,323.064,2019-01-19,16:31,Cash,6.5,Yangon - A,Saturday,January,6-8
608-27-6295,Member,Male,Electronic accessories,52.89,6,15.867,333.207,2019-01-19,17:34,Credit card,9.8,Mandalay - B,Saturday,January,8-10
882-40-4577,Member,Male,Sports and travel,67.26,4,13.452,282.492,2019-01-19,15:28,Credit card,8.0,Yangon - A,Saturday,January,8-10
284-54-4231,Member,Male,Sports and travel,80.93,1,4.0465,84.9765,2019-01-19,16:08,Credit card,9.0,Naypyitaw - C,Saturday,January,8-10
149-61-1929,Normal,Male,Sports and travel,64.19,10,32.095,673.995,2019-01-19,14:08,Credit card,6.7,Yangon - A,Saturday,January,6-8
645-44-1170,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2019-01-19,20:07,Ewallet,4.3,Yangon - A,Saturday,January,4-6
728-47-9078,Member,Male,Food and beverages,59.59,4,11.918,250.278,2019-01-19,12:46,Cash,9.8,Naypyitaw - C,Saturday,January,8-10
